State,Year,Resource Type,Consumption
Georgia,2004,Wind,0
Georgia,2005,Wind,0
Georgia,2006,Wind,0
Georgia,2007,Wind,0
Georgia,2008,Wind,0
Georgia,2009,Wind,0
Georgia,2010,Wind,0
Georgia,2011,Wind,0
Georgia,2012,Wind,0
Georgia,2013,Wind,0
Georgia,2014,Wind,0
Georgia,2015,Wind,0
Georgia,2016,Wind,0
Hawaii,1960,Wind,0
Hawaii,1965,Wind,0
Hawaii,1970,Wind,0
Hawaii,1971,Wind,0
Hawaii,1972,Wind,0
Hawaii,1973,Wind,0
Hawaii,1974,Wind,0
Hawaii,1975,Wind,0
Hawaii,1976,Wind,0
Hawaii,1977,Wind,0
Hawaii,1978,Wind,0
Hawaii,1979,Wind,0
Hawaii,1980,Wind,0
Hawaii,1981,Wind,0
Hawaii,1982,Wind,0
Hawaii,1983,Wind,0
Hawaii,1984,Wind,0
Hawaii,1985,Wind,0
Hawaii,1986,Wind,0
Hawaii,1987,Wind,0
Hawaii,1988,Wind,0
Hawaii,1989,Wind,0.3
Hawaii,1990,Wind,0.3
Hawaii,1991,Wind,0.4
Hawaii,1992,Wind,0.2
Hawaii,1993,Wind,0.2
Hawaii,1994,Wind,0.2
Hawaii,1995,Wind,0.2
Hawaii,1996,Wind,0.2
Hawaii,1997,Wind,0.2
Hawaii,1998,Wind,0.2
Hawaii,1999,Wind,0.2
Hawaii,2000,Wind,0.2
Hawaii,2001,Wind,0
Hawaii,2002,Wind,0
Hawaii,2003,Wind,0
Hawaii,2004,Wind,0.1
Hawaii,2005,Wind,0.1
Hawaii,2006,Wind,0.8
Hawaii,2007,Wind,2.4
Hawaii,2008,Wind,2.4
Hawaii,2009,Wind,2.5
Hawaii,2010,Wind,2.5
Hawaii,2011,Wind,3.3
Hawaii,2012,Wind,3.6
Hawaii,2013,Wind,4.8
Hawaii,2014,Wind,5.5
Hawaii,2015,Wind,5.7
Hawaii,2016,Wind,5.9
Idaho,1960,Wind,0
Idaho,1965,Wind,0
Idaho,1970,Wind,0
Idaho,1971,Wind,0
Idaho,1972,Wind,0
Idaho,1973,Wind,0
Idaho,1974,Wind,0
Idaho,1975,Wind,0
Idaho,1976,Wind,0
Idaho,1977,Wind,0
Idaho,1978,Wind,0
Idaho,1979,Wind,0
Idaho,1980,Wind,0
Idaho,1981,Wind,0
Idaho,1982,Wind,0
Idaho,1983,Wind,0
Idaho,1984,Wind,0
Idaho,1985,Wind,0
Idaho,1986,Wind,0
Idaho,1987,Wind,0
Idaho,1988,Wind,0
Idaho,1989,Wind,0
Idaho,1990,Wind,0
Idaho,1991,Wind,0
Idaho,1992,Wind,0
Idaho,1993,Wind,0
Idaho,1994,Wind,0
Idaho,1995,Wind,0
Idaho,1996,Wind,0
Idaho,1997,Wind,0
Idaho,1998,Wind,0
Idaho,1999,Wind,0
Idaho,2000,Wind,0
Idaho,2001,Wind,0
Idaho,2002,Wind,0
Idaho,2003,Wind,0
Idaho,2004,Wind,0
Idaho,2005,Wind,0
Idaho,2006,Wind,1.7
Idaho,2007,Wind,1.7
Idaho,2008,Wind,2
Idaho,2009,Wind,3.1
Idaho,2010,Wind,4.3
Idaho,2011,Wind,12.7
Idaho,2012,Wind,18
Idaho,2013,Wind,23.5
Idaho,2014,Wind,26.7
Idaho,2015,Wind,21.2
Idaho,2016,Wind,23.8
 Illinois,1960,Wind,0
 Illinois,1965,Wind,0
 Illinois,1970,Wind,0
 Illinois,1971,Wind,0
 Illinois,1972,Wind,0
 Illinois,1973,Wind,0
 Illinois,1974,Wind,0
 Illinois,1975,Wind,0
 Illinois,1976,Wind,0
 Illinois,1977,Wind,0
 Illinois,1978,Wind,0
