Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2018,88527990,RT @Soren_Ltd: Fucking...fossil fuels. Again. https://t.co/DdeR8kT9E0,Jayfuz. It's like Rufus but Jay.  ~ 🏴󠁧󠁢󠁷󠁬󠁳󠁿,88527990,Jayfuz,1,🏴󠁧󠁢󠁷󠁬󠁳󠁿/🇪🇺,🏴󠁧󠁢󠁷󠁬󠁳󠁿/🇪🇺,User location,
2018,3145521540,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",KCazares 🤙🏝☮️🌋✊,3145521540,cazarespr,1,"Los Angeles, CA ~ Waipahu, HI","Los Angeles, CA ~ Waipahu, HI",User location,
2018,9.26E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Steve C.,9.26E+17,SteveCo51650424,1,"Westminster, CA","Westminster, CA",User location,
2018,435704007,"Started out today in subzero weather and a foot of snow in New Mexico. Thanks to the miracle of fossil fuels, I’m b… https://t.co/H4ME2ermwD",Steve Goddard,435704007,SteveSGoddard,1,Colorado,Colorado,User location,Colorado
2018,2305664370,RT @Soren_Ltd: Fucking...fossil fuels. Again. https://t.co/DdeR8kT9E0,Xenolalia,2305664370,keep_indoors,1,WA,WA,User location,Washington
2018,409277358,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Daryl L. Denis,409277358,denisfaik,1,Kardzhali/Bulgaria,Kardzhali/Bulgaria,User location,
2018,8.59E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",I can:I will:I must,8.59E+17,StewartLucas10,1,"Liverpool, England","Liverpool, England",User location,
2018,2244804427,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Pablo José Sarmiento,2244804427,PabloJoseSarsem,1,Ecuador,Ecuador,User location,
2018,205838761,Fucking...fossil fuels. Again. https://t.co/DdeR8kT9E0,Soren Bowie,205838761,Soren_Ltd,1,Los Angeles,Los Angeles,User location, California
2018,590565518,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Simone,590565518,kangabella,1,Australia,Australia,User location,
